estrategia,num_calculos,vpl_medio,vpl_desvio,eficiencia_media
Aleatoria + BL,25000,30638382.8,159242.5961083098,0.9523637507866974
Aleatoria + BL,25250,30638893.4,158583.35591858308,0.9523796222814276
Aleatoria + BL,25500,30638893.4,158583.35591858308,0.9523796222814276
Aleatoria + BL,25750,30638903.8,158560.87040052292,0.9523799455551158
Aleatoria + BL,26000,30639125.933333334,158749.97404745192,0.952386850349533
Aleatoria + BL,26250,30639755.333333332,157488.434920367,0.9524064146244706
Aleatoria + BL,26500,30639825.133333333,157427.3703534729,0.9524085842882626
Aleatoria + BL,26750,30640574.0,157782.78673317225,0.9524318620660801
Aleatoria + BL,27000,30642310.666666668,157648.1633940713,0.9524858446274748
Aleatoria + BL,27250,30643027.333333332,157579.41852768656,0.952508121500219
Aleatoria + BL,27500,30644198.266666666,156149.5363281468,0.9525445188018826
Aleatoria + BL,27750,30644198.266666666,156149.5363281468,0.9525445188018826
Aleatoria + BL,28000,30645323.4,156930.24086462293,0.9525794924559577
Aleatoria + BL,28250,30645485.133333333,157034.54497833393,0.9525845197762627
Aleatoria + BL,28500,30647984.666666668,155460.68253175172,0.9526622152915936
Aleatoria + BL,28750,30648520.0,155636.33039694995,0.9526788555974668
Aleatoria + BL,29000,30649263.2,154029.90737200543,0.9527019572325696
Aleatoria + BL,29250,30650758.533333335,155126.9112597197,0.9527484381865843
Aleatoria + BL,29500,30653259.6,153982.8683804978,0.9528261813640615
Aleatoria + BL,29750,30654121.266666666,154192.24480890576,0.9528529654180354
Aleatoria + BL,30000,30654982.0,154754.59894897192,0.9528797204602684
Aleatoria + BL,30250,30654982.0,154754.59894897192,0.9528797204602684
Aleatoria + BL,30500,30655743.8,154953.18924123043,0.9529034002579289
Aleatoria + BL,30750,30655743.8,154953.18924123043,0.9529034002579289
Aleatoria + BL,31000,30655853.466666665,155017.08418653483,0.9529068091375256
Aleatoria + BL,31250,30655853.466666665,155017.08418653483,0.9529068091375256
Aleatoria + BL,31500,30656598.066666666,155457.85581467164,0.9529299542902402
Aleatoria + BL,31750,30657643.6,155104.99011996452,0.9529624536572403
Aleatoria + BL,32000,30657643.6,155104.99011996452,0.9529624536572403
Aleatoria + BL,32250,30657687.4,155151.90615273977,0.9529638151368117
Aleatoria + BL,32500,30657687.4,155151.90615273977,0.9529638151368117
Aleatoria + BL,32750,30658241.933333334,155308.7208734667,0.9529810522556479
Aleatoria + BL,33000,30659141.933333334,154321.13081283582,0.9530090278632803
Aleatoria + BL,33250,30659457.0,154519.2784061033,0.953018821398219
Aleatoria + BL,33500,30659630.8,154586.6782359611,0.953024223798893
Aleatoria + BL,33750,30659727.733333334,154649.38272310724,0.9530272368754483
Aleatoria + BL,34000,30659851.333333332,154608.24542125204,0.9530310788588965
Aleatoria + BL,34250,30659851.333333332,154608.24542125204,0.9530310788588965
Aleatoria + BL,34500,30659851.333333332,154608.24542125204,0.9530310788588965
Aleatoria + BL,34750,30659851.333333332,154608.24542125204,0.9530310788588965
Aleatoria + BL,35000,30660025.866666667,154305.66338225597,0.95303650405451
Aleatoria + BL,35250,30660279.933333334,154066.19244034906,0.9530444014649313
Aleatoria + BL,35500,30660279.933333334,154066.19244034906,0.9530444014649313
